Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1215,53,17,757,1,1,37,335,37,37,37,0,335,335,335,0,4914134742,2642007926,757,0,757,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1321003963,1321003963,37,335,1363333333,1720503802,2960133333,0,0,0,0,0,0,0,0,1,9,37,335,0,0,0,0,0,0,1,37,1,335,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
68,67,17,32916,1,1,314,300,314,314,314,0,300,300,300,0,1865354235,6076072427,32916,0,32916,32916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3038036213,3038036213,300,314,3093333333,8082903769,6533333333,0,0,0,0,0,0,0,0,1,464,314,300,0,0,0,0,0,0,1,314,1,300,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
60840,80,6,4930001,2,0,0,0,0,0,0,0,0,0,0,0,0,0.405679431,4930001,0,4930001,4930001,4930001,4930001,0,4930001,4930001,0,0,0,0,0,0,0,0,0,40,0,0.405679431,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,GeneralMalware
60955,443,6,8717253,28,46,966,51714,618,0,1,122007134,1338,0,1124217391,448376177,6043188147,8488912734,1194144247,9984550049,8533001,2,8717253,3228612222,1640890954,8533001,2,174439,3876422222,1341340206,73637,2,0,0,0,0,904,1480,3212021035,52768917,0,1338,29,6432334073,4137492162,0,0,0,1,0,0,0,0,1,7118918919,1,1124217391,0,0,0,0,0,0,28,966,46,51714,65535,978,4,32,184250,0,184250,184250,8533001,0,8533001,8533001,benign
60572,5228,6,44994,2,1,35,33,35,0,1,2474873734,33,33,33,0,1511312619,6667555674,22497,2833942558,42536,2458,44994,44994,0,44994,44994,0,0,0,0,0,1,0,0,0,64,32,4445037116,2222518558,0,35,25.75,1719253714,2955833333,0,1,0,0,1,0,0,0,0,3433333333,1,33,0,0,0,0,0,0,2,35,1,33,1589,349,0,32,0,0,0,0,0,0,0,0,GeneralMalware
5353,5353,17,2011998,3,0,183,0,61,61,61,0,0,0,0,0,9095436477,149105516,1005999,9847451878,1075631,936367,2011998,1005999,9847451878,1075631,936367,0,0,0,0,0,0,0,0,0,24,0,149105516,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0,8133333333,61,0,0,0,0,0,0,0,3,183,0,0,-1,-1,2,8,0,0,0,0,0,0,0,0,benign
60815,8001,6,3184000,2,0,0,0,0,0,0,0,0,0,0,0,0,0.628140704,3184000,0,3184000,3184000,3184000,3184000,0,3184000,3184000,0,0,0,0,0,0,0,0,0,64,0,0.628140704,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,adware
41988,8035,6,648379,2,1,12,12,12,0,6,8485281374,12,12,12,0,3701538761,4626923451,324189.5,6086280198,367226,281153,648379,648379,0,648379,648379,0,0,0,0,0,1,0,0,0,64,32,3084615634,1542307817,0,12,9,6,36,0,1,0,0,1,0,0,0,0,12,6,12,0,0,0,0,0,0,2,12,1,12,1360,2499,0,32,0,0,0,0,0,0,0,0,benign
59321,10443,6,84479,1,1,0,0,0,0,0,0,0,0,0,0,0,2367452266,84479,0,84479,84479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,1183726133,1183726133,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,65535,0,0,40,0,0,0,0,0,0,0,0,GeneralMalware
443,32977,6,14,2,0,0,0,0,0,0,0,0,0,0,0,0,1428571429,14,0,14,14,14,14,0,14,14,0,0,0,0,0,0,0,0,0,64,0,1428571429,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,350,-1,0,32,0,0,0,0,0,0,0,0,benign
