Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,37591,6,201,2,0,31,0,31,0,1,2192031022,0,0,0,0,1542288557,9950248756,201,0,201,201,201,201,0,201,201,0,0,0,0,0,1,0,0,0,64,0,9950248756,0,0,31,2066666667,1789785834,3203333333,0,1,0,0,1,0,0,0,0,31,1,0,0,0,0,0,0,0,2,31,0,0,66,-1,0,32,0,0,0,0,0,0,0,0,benign
443,52481,6,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,9945300845,2011,0,2011,2011,2011,2011,0,2011,2011,0,0,0,0,0,0,0,0,0,40,0,9945300845,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,20,0,0,0,0,0,0,0,0,GeneralMalware
64895,53,17,2028,1,1,32,64,32,32,32,0,64,64,64,0,4733727811,9861932939,2028,0,2028,2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4930966469,4930966469,32,64,4266666667,1847520861,3413333333,0,0,0,0,0,0,0,0,1,64,32,64,0,0,0,0,0,0,1,32,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
41179,443,6,213002,12,9,897,6266,549,0,74.75,1617147461,1338,0,6962222222,6078210629,3362879222,9859062356,10650.1,1668942723,49001,2,213002,1936381818,2089966696,49001,2,174228,21778.5,3332968231,91069,8,0,0,0,0,392,296,5633749918,4225312438,0,1338,3255909091,5042963659,2543148247,0,0,0,1,0,0,0,0,0,3410952381,74.75,6962222222,0,0,0,0,0,0,12,897,9,6266,65535,66,4,32,0,0,0,0,0,0,0,0,benign
80,39461,6,2054,1,1,0,0,0,0,0,0,0,0,0,0,0,9737098345,2054,0,2054,2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4868549172,4868549172,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,16,1386,0,20,0,0,0,0,0,0,0,0,GeneralMalware
38722,80,6,826875,5,3,394,838,394,0,3,1762021566,838,0,2793333333,4838195256,148994709,9674981104,118125,2397579487,655501,1498,826875,206718.75,3017673838,655501,1498,88879,44439.5,5690866086,84680,4199,0,0,0,0,168,104,604686319,3628117914,0,838,1368888889,2934350203,8610411111,0,0,0,1,0,0,0,0,0,154,3,2793333333,0,0,0,0,0,0,5,394,3,838,65535,45,1,32,0,0,0,0,0,0,0,0,benign
443,47177,6,20700,2,0,0,0,0,0,0,0,0,0,0,0,0,9661835749,20700,0,20700,20700,20700,20700,0,20700,20700,0,0,0,0,0,0,0,0,0,64,0,9661835749,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,404,-1,0,32,0,0,0,0,0,0,0,0,benign
36349,443,6,189124,9,9,896,4214,577,0,9955555556,1926305474,1338,0,4682222222,5676336358,2701931008,9517565195,1112494118,1567926697,50862,2,189124,23640.5,2143516217,59624,2,151239,18904875,2636480236,59944,68,0,0,0,0,296,296,4758782598,4758782598,0,1338,2689473684,4448773206,1979158304,0,0,0,1,0,0,0,0,1,2838888889,9955555556,4682222222,0,0,0,0,0,0,9,896,9,4214,65535,350,3,32,0,0,0,0,0,0,0,0,adware
443,52541,6,2110,2,0,0,0,0,0,0,0,0,0,0,0,0,9478672986,2110,0,2110,2110,2110,2110,0,2110,2110,0,0,0,0,0,0,0,0,0,64,0,9478672986,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,404,-1,0,32,0,0,0,0,0,0,0,0,benign
51224,443,6,2122,2,0,0,0,0,0,0,0,0,0,0,0,0,9425070688,2122,0,2122,2122,2122,2122,0,2122,2122,0,0,0,0,0,0,0,0,0,64,0,9425070688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,65535,-1,0,32,0,0,0,0,0,0,0,0,benign
