Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Win Bytes Fwd,Init Win Bytes Bwd,Act Data Pkt Fwd,Min Seg Size Fwd,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
68,67,17,32916,1,1,314,300,314,314,314,0,300,300,300,0,1865354235,6076072427,32916,0,32916,32916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3038036213,3038036213,300,314,3093333333,8082903769,6533333333,0,0,0,0,0,0,0,0,1,464,314,300,0,0,0,0,0,0,1,314,1,300,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
80,44808,6,88569,12,322,0,0,0,0,0,0,0,0,0,0,0,2258126432,88569,0,88569,88569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1129063216,1129063216,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,16,1386,0,20,0,0,0,0,0,0,0,0,GeneralMalware
443,52788,6,14022,20,354,0,0,0,0,0,0,0,0,0,0,0,1426330053,14022,0,14022,14022,14022,14022,0,14022,14022,0,0,0,0,0,0,0,0,0,64,0,1426330053,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,404,-1,0,32,0,0,0,0,0,0,0,0,benign
1215,53,17,757,1,1,37,335,37,37,37,0,335,335,335,0,4914134742,2642007926,757,0,757,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1321003963,1321003963,37,335,1363333333,1720503802,2960133333,0,0,0,0,0,0,0,0,1,9,37,335,0,0,0,0,0,0,1,37,1,335,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
1466,53,17,562,1,1,32,203,32,32,32,0,203,203,203,0,4181494662,3558718861,562,0,562,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1779359431,1779359431,32,203,89,9872689603,9747,0,0,0,0,0,0,0,0,1,6,32,203,0,0,0,0,0,0,1,32,1,203,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
1579,53,17,531,1,1,32,203,32,32,32,0,203,203,203,0,4425612053,3766478343,531,0,531,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1883239171,1883239171,32,203,89,9872689603,9747,0,0,0,0,0,0,0,0,1,6,32,203,0,0,0,0,0,0,1,32,1,203,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
1687,53,17,547,1,1,32,203,32,32,32,0,203,203,203,0,4296160878,365630713,547,0,547,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1828153565,1828153565,32,203,89,9872689603,9747,0,0,0,0,0,0,0,0,1,6,32,203,0,0,0,0,0,0,1,32,1,203,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
1845,53,17,63,1,1,32,64,32,32,32,0,64,64,64,0,1523809524,3174603175,63,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1587301587,1587301587,32,64,4266666667,1847520861,3413333333,0,0,0,0,0,0,0,0,1,64,32,64,0,0,0,0,0,0,1,32,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
1921,53,17,473,1,1,32,203,32,32,32,0,203,203,203,0,4968287526,422832981,473,0,473,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2114164905,2114164905,32,203,89,9872689603,9747,0,0,0,0,0,0,0,0,1,6,32,203,0,0,0,0,0,0,1,32,1,203,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
2391,53,17,1317,1,1,32,64,32,32,32,0,64,64,64,0,728929385,1518602885,1317,0,1317,1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7593014427,7593014427,32,64,4266666667,1847520861,3413333333,0,0,0,0,0,0,0,0,1,64,32,64,0,0,0,0,0,0,1,32,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
2493,53,17,540,1,1,32,203,32,32,32,0,203,203,203,0,4351851852,3703703704,540,0,540,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1851851852,1851851852,32,203,89,9872689603,9747,0,0,0,0,0,0,0,0,1,6,32,203,0,0,0,0,0,0,1,32,1,203,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
4370,53,17,615,1,1,32,203,32,32,32,0,203,203,203,0,3821138211,325203252,615,0,615,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,162601626,162601626,32,203,89,9872689603,9747,0,0,0,0,0,0,0,0,1,6,32,203,0,0,0,0,0,0,1,32,1,203,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
4994,53,17,1167,1,1,32,64,32,32,32,0,64,64,64,0,822622108,1713796058,1167,0,1167,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8568980291,8568980291,32,64,4266666667,1847520861,3413333333,0,0,0,0,0,0,0,0,1,64,32,64,0,0,0,0,0,0,1,32,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
5353,5353,17,2011998,3,0,183,0,61,61,61,0,0,0,0,0,9095436477,149105516,1005999,9847451878,1075631,936367,2011998,1005999,9847451878,1075631,936367,0,0,0,0,0,0,0,0,0,24,0,149105516,0,61,61,61,0,0,0,0,0,0,0,0,0,0,0,8133333333,61,0,0,0,0,0,0,0,3,183,0,0,-1,-1,2,8,0,0,0,0,0,0,0,0,benign
5829,53,17,74,1,1,32,64,32,32,32,0,64,64,64,0,1297297297,2702702703,74,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1351351351,1351351351,32,64,4266666667,1847520861,3413333333,0,0,0,0,0,0,0,0,1,64,32,64,0,0,0,0,0,0,1,32,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
6000,53,17,827,1,1,37,335,37,37,37,0,335,335,335,0,4498186215,2418379686,827,0,827,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1209189843,1209189843,37,335,1363333333,1720503802,2960133333,0,0,0,0,0,0,0,0,1,9,37,335,0,0,0,0,0,0,1,37,1,335,-1,-1,0,8,0,0,0,0,0,0,0,0,GeneralMalware
6699,53,17,530,1,1,36,302,36,36,36,0,302,302,302,0,6377358491,3773584906,530,0,530,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1886792453,1886792453,36,302,1246666667,1535751716,2358533333,0,0,0,0,0,0,0,0,1,187,36,302,0,0,0,0,0,0,1,36,1,302,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
7419,53,17,293820,1,1,32,64,32,32,32,0,64,64,64,0,3267306514,6806888571,293820,0,293820,293820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3403444286,3403444286,32,64,4266666667,1847520861,3413333333,0,0,0,0,0,0,0,0,1,64,32,64,0,0,0,0,0,0,1,32,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
8001,54582,6,292870,80,421,0,0,0,0,0,0,0,0,0,0,0,6828968484,292870,0,292870,292870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3414484242,3414484242,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,61,1386,0,32,0,0,0,0,0,0,0,0,adware
9169,53,17,1235,1,1,32,64,32,32,32,0,64,64,64,0,7773279352,1619433198,1235,0,1235,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8097165992,8097165992,32,64,4266666667,1847520861,3413333333,0,0,0,0,0,0,0,0,1,64,32,64,0,0,0,0,0,0,1,32,1,64,-1,-1,0,8,0,0,0,0,0,0,0,0,adware
